Product_Name,Price,Rating,Review,Link
"APPLE iPhone 11 (White, 64 GB)",51999,57806,4405,https://www.flipkart.com/apple-iphone-11-white-64-gb/p/itmfc6a7091eb20b?pid=MOBFWQ6BVWVEH3XE&lid=LSTMOBFWQ6BVWVEH3XESAHPTP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=browse&fm=organic&iid=88ba858c-9383-451a-b3ee-b578d44c193d.MOBFWQ6BVWVEH3XE.SEARCH&ppt=None&ppn=None&ssid=utw3jl3j4g0000001621088606026
"APPLE iPhone SE (Black, 64 GB)",32999,101266,8583,https://www.flipkart.com/apple-iphone-se-black-64-gb/p/itm4d3d5718a5c95?pid=MOBFWQ6BR3MK7AUG&lid=LSTMOBFWQ6BR3MK7AUGPIEPIP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=browse&fm=organic&iid=88ba858c-9383-451a-b3ee-b578d44c193d.MOBFWQ6BR3MK7AUG.SEARCH&ppt=None&ppn=None&ssid=utw3jl3j4g0000001621088606026
"APPLE iPhone SE (Black, 128 GB)",37999,101266,8583,https://www.flipkart.com/apple-iphone-se-black-128-gb/p/itma9285ccc6af28?pid=MOBFWQ6BHUEVZPXD&lid=LSTMOBFWQ6BHUEVZPXDUYSEZF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=browse&fm=organic&iid=88ba858c-9383-451a-b3ee-b578d44c193d.MOBFWQ6BHUEVZPXD.SEARCH&ppt=None&ppn=None&ssid=utw3jl3j4g0000001621088606026
"Apple iPhone SE (Red, 128 GB) (Includes EarPods, Power Adapter)",37999,101266,8583,https://www.flipkart.com/apple-iphone-se-red-128-gb-includes-earpods-power-adapter/p/itm55d4e3652bd92?pid=MOBFRFXHNB5ED82D&lid=LSTMOBFRFXHNB5ED82DP6ZOLW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=browse&fm=organic&iid=88ba858c-9383-451a-b3ee-b578d44c193d.MOBFRFXHNB5ED82D.SEARCH&ppt=None&ppn=None&ssid=utw3jl3j4g0000001621088606026
"APPLE iPhone SE (White, 128 GB)",37999,101266,8583,https://www.flipkart.com/apple-iphone-se-white-128-gb/p/itmc2a0f593a4ad8?pid=MOBFWQ6BJEHMUUZY&lid=LSTMOBFWQ6BJEHMUUZYVDFCFS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=browse&fm=organic&iid=88ba858c-9383-451a-b3ee-b578d44c193d.MOBFWQ6BJEHMUUZY.SEARCH&ppt=None&ppn=None&ssid=utw3jl3j4g0000001621088606026
"APPLE iPhone SE (Red, 128 GB)",37999,101266,8583,https://www.flipkart.com/apple-iphone-se-red-128-gb/p/itma4202509da171?pid=MOBFWQ6BJTVFKPEJ&lid=LSTMOBFWQ6BJTVFKPEJSFJTK7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=browse&fm=organic&iid=88ba858c-9383-451a-b3ee-b578d44c193d.MOBFWQ6BJTVFKPEJ.SEARCH&ppt=None&ppn=None&ssid=utw3jl3j4g0000001621088606026
"APPLE iPhone SE (Red, 64 GB)",32999,101266,8583,https://www.flipkart.com/apple-iphone-se-red-64-gb/p/itm0397b268761f6?pid=MOBFWQ6B5SFXGTNG&lid=LSTMOBFWQ6B5SFXGTNG3D18EC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=browse&fm=organic&iid=88ba858c-9383-451a-b3ee-b578d44c193d.MOBFWQ6B5SFXGTNG.SEARCH&ppt=None&ppn=None&ssid=utw3jl3j4g0000001621088606026
"APPLE iPhone SE (White, 64 GB)",32999,101266,8583,https://www.flipkart.com/apple-iphone-se-white-64-gb/p/itma00a19e11c81b?pid=MOBFWQ6BGWDVGF3E&lid=LSTMOBFWQ6BGWDVGF3EWMN5CZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=browse&fm=organic&iid=88ba858c-9383-451a-b3ee-b578d44c193d.MOBFWQ6BGWDVGF3E.SEARCH&ppt=None&ppn=None&ssid=utw3jl3j4g0000001621088606026
"APPLE iPhone 12 (White, 128 GB)",82900,3168,272,https://www.flipkart.com/apple-iphone-12-white-128-gb/p/itm95393f4c6cc59?pid=MOBFWBYZBTZFGJF9&lid=LSTMOBFWBYZBTZFGJF9K5AZO1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=browse&fm=organic&iid=88ba858c-9383-451a-b3ee-b578d44c193d.MOBFWBYZBTZFGJF9.SEARCH&ppt=None&ppn=None&ssid=utw3jl3j4g0000001621088606026
"APPLE iPhone 12 (Blue, 128 GB)",82900,3168,272,https://www.flipkart.com/apple-iphone-12-blue-128-gb/p/itm02853ae92e90a?pid=MOBFWBYZKPTZF9VG&lid=LSTMOBFWBYZKPTZF9VG6GMIFT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=browse&fm=organic&iid=88ba858c-9383-451a-b3ee-b578d44c193d.MOBFWBYZKPTZF9VG.SEARCH&ppt=None&ppn=None&ssid=utw3jl3j4g0000001621088606026
